Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal,
927,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1186/s12881-016-0326-y,,2.094,Service,Olga.Pettersson@igp.uu.se,1471-2350,A novel variant in MYLK causes thoracic aortic dissections: genotypic and phenot...,"Hannuksela M, Stattin E, ..., Carlberg B",BMC MED GENET,27586135
928,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1186/s12881-016-0349-4,,2.094,Service,Olga.Pettersson@igp.uu.se,1471-2350,Abnormal primary and permanent dentitions with ectodermal symptoms predict WNT10...,"Bergendal B, Norderyd J, ..., Dahl N",BMC MED GENET,27881089
929,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1186/s12885-015-1046-y,,3.265,Service,Olga.Pettersson@igp.uu.se,1471-2407,Clonal distribution of BCR-ABL1 mutations and splice isoforms by single-molecule...,"Cavelier L, Ameur A, ..., Hermanson M",BMC CANCER,25880391
930,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1186/s12890-016-0309-y,,2.329,Service,Olga.Pettersson@igp.uu.se,1471-2466,Targeted high-throughput sequencing of candidate genes for chronic obstructive p...,"Matsson H, Söderhäll C, ..., Klar J",BMC PULM MED,27835950
931,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1186/s13068-016-0454-9,,6.444,Service,Olga.Pettersson@igp.uu.se,1754-6834,Bacterial community composition and fhs profiles of low- and high-ammonia biogas...,"Müller B, Sun L, ..., Schnürer A",BIOTECHNOL BIOFUELS,26925165
932,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1186/s13293-015-0056-4,,3.237,Service,Olga.Pettersson@igp.uu.se,2042-6410,Spatial sexual dimorphism of X and Y homolog gene expression in the human centra...,"Johansson MM, Lundin E, ..., Jazin E",BIOL SEX DIFFER,26759715
933,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1186/s40793-016-0199-x,,1.594,Service,Olga.Pettersson@igp.uu.se,1944-3277,"Complete genome sequence of Methanoculleus bourgensis strain MAB1, the syntrophi...","Manzoor S, Schnürer A, ..., Müller B",STAND GENOMIC SCI,
934,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1194/jlr.M068981,,4.368,Service,Olga.Pettersson@igp.uu.se,0022-2275 1539-7262,A new class of fatty acid allene oxide formed by the DOX-P450 fusion proteins of...,"Oliw EH, Aragó M, ..., Jernerén F",J LIPID RES,27282156
935,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1371/journal.pone.0151481,,3.057,Service,Olga.Pettersson@igp.uu.se,1932-6203,The Intestinal Eukaryotic Virome in Healthy and Diarrhoeic Neonatal Piglets,"Karlsson OE, Larsson J, ..., Jacobson M",PLOS ONE,26982708
936,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1371/journal.pone.0159105,,3.057,Service,Olga.Pettersson@igp.uu.se,1932-6203,DNA Content in Extracellular Vesicles Isolated from Porcine Coronary Venous Bloo...,"Svennerholm K, Rodsand P, ..., Haney M",PLOS ONE,27434143
937,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1371/journal.pone.0162751,,3.057,Service,Olga.Pettersson@igp.uu.se,1932-6203,Discovery of Novel Viruses in Mosquitoes from the Zambezi Valley of Mozambique,"Cholleti H, Hayer J, ..., Blomström A",PLOS ONE,27682810
939,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1371/journal.pone.0165012,,3.057,Service,Olga.Pettersson@igp.uu.se,1932-6203,Failure to Genotype: A Cautionary Note on an Elusive loxP Sequence,"Kreuger J, O’Callaghan P",PLOS ONE,27768725
940,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1371/journal.pone.0166520,,?,Service,Olga.Pettersson@igp.uu.se,,,,,27805003
941,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1534/g3.115.025643,,2.91,Service,Olga.Pettersson@igp.uu.se,2160-1836,Whole-Genome Sequencing of a Canine Family Trio Reveals a FAM83G Variant Associa...,"Sayyab S, Viluma A, ..., Bergstrom TF",G3-GENES GENOM GENET,26747202
942,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1534/g3.116.029645,,2.91,Service,Olga.Pettersson@igp.uu.se,2160-1836,Large Deletions at the SHOX Locus in the Pseudoautosomal Region Are Associated w...,"Rafati N, Andersson LS, ..., Rubin C",G3-GENES GENOM GENET,27207956
943,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.18632/oncotarget.6843,,5.008,Service,Olga.Pettersson@igp.uu.se,1949-2553,Genome-wide profiling of histone H3 lysine 27 and lysine 4 trimethylation in mul...,,ONCOTARGET,
944,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.18632/oncotarget.9916,,5.008,Service,Olga.Pettersson@igp.uu.se,1949-2553,Pooled analysis of genome-wide association studies of cervical intraepithelial n...,"Chen D, Enroth S, ..., Gyllensten U",ONCOTARGET,27285765
945,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.20506/rst.35.1.2415,,0.904,Service,Olga.Pettersson@igp.uu.se,0253-1933,Novel technologies applied to the nucleotide sequencing and comparative sequence...,"GRANBERG F, BÁLINT Á, BELÁK S",REV SCI TECH OIE,27217166
946,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.2134/jas2016.94supplement4147a,,?,Service,Olga.Pettersson@igp.uu.se,,,,,27805003
947,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.2134/jas2016.94supplement482x,,?,Service,Olga.Pettersson@igp.uu.se,,,,,27805003
948,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.2337/db16-0616,,8.784,Service,Olga.Pettersson@igp.uu.se,0012-1797 1939-327X,Expression of Interferon-Stimulated Genes in Insulitic Pancreatic Islets of Pati...,"Lundberg M, Krogvold L, ..., Skog O",DIABETES,
949,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.3389/fnhum.2016.00052,,3.634,Service,Olga.Pettersson@igp.uu.se,1662-5161,"Resting-State Brain and the FTO Obesity Risk Allele: Default Mode, Sensorimotor,...","Olivo G, Wiemerslage L, ..., Schiöth HB",FRONT HUM NEUROSCI,
950,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.3402/iee.v6.32453,,Kan inte hitta,Service,Olga.Pettersson@igp.uu.se,2000-8686,A metagenomic analysis displays the diverse microbial community of a vermicompos...,"Blomström A, Lalander C, ..., Boqvist S",,27834174
951,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.3402/iee.v6.32838,,Kan inte hitta,Service,Olga.Pettersson@igp.uu.se,2000-8686,Introduction and persistence of tularemia in Bulgaria,"Myrtennäs K, Marinov K, ..., Forsman M",,27790972
952,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.jhin.2016.01.002,Letters to the Editor / Journal of Hospital Infection 92 (2016) 408e412,2.655,Service,Olga.Pettersson@igp.uu.se,0195-6701,Fatal acquisition of vanD gene during vancomycin treatment of septicaemia caused...,"Starlander G, Tellgren-Roth C, Melhus Å",J HOSP INFECT,26876745
954,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.2144/000114370,"BioTechniques, Vol. 60, No. 1, January 2016, pp. 28–34",2.298,Service,Olga.Pettersson@igp.uu.se,1940-9818 0736-6205,Development of single-tube nested real-time PCR assays with long internally quen...,"Xia H, Gravelsina S, ..., Blomberg J",BIOTECHNIQUES,26757809
955,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),N/A,PubMed 27812424,4,Service,Olga.Pettersson@igp.uu.se,,,,,27805003
956,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),N/A,Volume 1399  Methods in Molecular Biology pp 61-88,,Technology development,Olga.Pettersson@igp.uu.se,,,,,27805003
957,Next-Generation Diagnostics,Clinical Biomarkers,10.1016/j.atherosclerosis.2016.09.014,,3.942,Service,jenny.alfredsson@medsci.uu.se,0021-9150,Effects of cigarette smoking on cardiovascular-related protein profiles in two c...,"Huang B, Svensson P, ..., Ingelsson E",ATHEROSCLEROSIS,27684606
958,Next-Generation Diagnostics,Clinical Biomarkers,10.1016/j.cyto.2016.06.009,,2.94,Service,jenny.alfredsson@medsci.uu.se,1043-4666,Endarterectomy patients with elevated levels of circulating IL-16 have fewer car...,"Grönberg C, Asciutto G, ..., Björkbacka H",CYTOKINE,27344024
959,Next-Generation Diagnostics,Clinical Biomarkers,10.1136/heartjnl-2016-309764,,5.693,Service,jenny.alfredsson@medsci.uu.se,1355-6037 1468-201X,Discovery of new biomarkers for atrial fibrillation using a custom-made proteomi...,"Lind L, Sundström J, ..., Ärnlöv J",HEART,27609943
960,Next-Generation Diagnostics,Clinical Biomarkers,10.1155/2016/3874964,,1.87,Service,jenny.alfredsson@medsci.uu.se,2090-8040 2042-0099,Inflammatory Serum Protein Profiling of Patients with Lumbar Radicular Pain One ...,"Moen A, Lind A, ..., Gordh T",,27293953
961,Next-Generation Diagnostics,Clinical Biomarkers,10.1159/000452891,,?,Service,jenny.alfredsson@medsci.uu.se,,,,,27805003
962,Next-Generation Diagnostics,Clinical Biomarkers,10.1177/2047487316676134,,3.361,Service,jenny.alfredsson@medsci.uu.se,2047-4873 2047-4881,Use of a proximity extension assay proteomics chip to discover new biomarkers as...,"Carlsson AC, Sundstro m J, ..., A rnlo v J",EUR J PREV CARDIOL,27794105
963,Next-Generation Diagnostics,Clinical Biomarkers,10.1186/s12872-016-0346-8,,1.916,Service,jenny.alfredsson@medsci.uu.se,1471-2261,Association between renin and atherosclerotic burden in subjects with and withou...,"Gonçalves I, Edsfeldt A, ..., Nilsson J",BMC CARDIOVASC DISOR,27596252
964,Next-Generation Diagnostics,Clinical Genomics,10.1002/ajmg.a.37387,,2.082,Service,valtteri.wirta@scilifelab.se,1552-4825,Pathogenenic variant in theCOL2A1gene is associated with Spondyloepiphyseal dysp...,"Hammarsjö A, Nordgren A, ..., Grigelioniene G",AM J MED GENET A,
965,Next-Generation Diagnostics,Clinical Genomics,10.1002/humu.23146,,5.089,Collaborative,valtteri.wirta@scilifelab.se,1059-7794,Whole-Genome Sequencing of Cytogenetically Balanced Chromosome Translocations Id...,"Nilsson D, Pettersson M, ..., Lindstrand A",HUM MUTAT,27862604
966,Next-Generation Diagnostics,Clinical Genomics,10.1007/s00439-016-1743-x,,5.138,Service,valtteri.wirta@scilifelab.se,0340-6717 1432-1203,Identification of new TRIP12 variants and detailed clinical evaluation of indivi...,"Bramswig NC, Lüdecke H, ..., Wieczorek D",HUM GENET,27848077
967,Next-Generation Diagnostics,Clinical Genomics,10.1016/j.ajhg.2016.02.004,,10.794,Service,valtteri.wirta@scilifelab.se,0002-9297,Disruption of POGZ Is Associated with Intellectual Disability and Autism Spectru...,"Stessman HA, Willemsen MH, ..., Kleefstra T",AM J HUM GENET,
968,Next-Generation Diagnostics,Clinical Genomics,10.1016/j.ajhg.2016.06.026,,10.794,Service,valtteri.wirta@scilifelab.se,0002-9297,Absence of the Autophagy Adaptor SQSTM1/p62 Causes Childhood-Onset Neurodegenera...,"Haack TB, Ignatius E, ..., Klopstock T",AM J HUM GENET,27545679
969,Next-Generation Diagnostics,Clinical Genomics,10.1016/j.ajhg.2016.08.019,,10.794,Service,valtteri.wirta@scilifelab.se,0002-9297,"Periodontal Ehlers-Danlos Syndrome Is Caused by Mutations in C1R and C1S, which ...","Kapferer-Seebacher I, Pepin M, ..., Zschocke J",AM J HUM GENET,27745832
970,Next-Generation Diagnostics,Clinical Genomics,10.1016/j.cmi.2015.09.004,,4.575,Collaborative,lars.engstrand@scilifelab.se,1198-743X,Composition of human faecal microbiota in resistance to Campylobacter infection,"Kampmann C, Dicksved J, ..., Rautelin H",CLIN MICROBIOL INFEC,26369602
971,Next-Generation Diagnostics,Clinical Genomics,10.1016/j.ejpn.2016.01.009,26975589,1.923,Service,valtteri.wirta@scilifelab.se,1090-3798,Biotin and Thiamine Responsive Basal Ganglia Disease – A vital differential diag...,"Ygberg S, Naess K, ..., Wickström R",EUR J PAEDIATR NEURO,26975589
972,Next-Generation Diagnostics,Clinical Genomics,10.1038/srep14333,,5.228,Collaborative,lars.engstrand@scilifelab.se,2045-2322,Dormant phages of Helicobacter pylori reveal distinct populations in Europe,"Vale FF, Vadivelu J, ..., Lehours P",SCI REP-UK,26387443
973,Next-Generation Diagnostics,Clinical Genomics,10.1111/jdv.13806,,3.029,Service,valtteri.wirta@scilifelab.se,0926-9959,The tight junction gene Claudin-1 is associated with atopic dermatitis among Eth...,"Asad S, Winge M, ..., Bradley M",J EUR ACAD DERMATOL,
974,Next-Generation Diagnostics,Clinical Genomics,10.1111/joim.12399,,7.803,Service,valtteri.wirta@scilifelab.se,0954-6820,Exome and genome sequencing: a revolution for the discovery and diagnosis of mon...,"Stranneheim H, Wedell A",J INTERN MED,
975,Next-Generation Diagnostics,Clinical Genomics,10.1126/science.aad2545,,34.661,Collaborative,lars.engstrand@scilifelab.se,0036-8075 1095-9203,The 5300-year-old Helicobacter pylori genome of the Iceman,"Maixner F, Krause-Kyora B, ..., Zink A",SCIENCE,26744403
976,Next-Generation Diagnostics,Clinical Genomics,10.1128/genomeA.00552-16,,1.18,Collaborative,lars.engstrand@scilifelab.se,2169-8287,Draft Genome Sequence of Moraxella catarrhalis Type Strain CCUG 353 T,"Jakobsson HE, Salvà-Serra F, ..., Moore ERB",,
977,Next-Generation Diagnostics,Clinical Genomics,10.1136/gutjnl-2016-311935,,14.921,Collaborative,lars.engstrand@scilifelab.se,0017-5749 1468-3288,Stool frequency is associated with gut microbiota composition,"Hadizadeh F, Walter S, ..., D'Amato M",GUT,27196592
978,Next-Generation Diagnostics,Clinical Genomics,10.1136/gutjnl-2016-312456,,14.921,Collaborative,lars.engstrand@scilifelab.se,0017-5749 1468-3288,Functional variants in the sucrase–isomaltase gene associate with increased risk...,"Henström M, Diekmann L, ..., D'Amato M",GUT,27872184
979,Next-Generation Diagnostics,Clinical Genomics,10.1186/s12863-016-0351-z,,2.152,Service,valtteri.wirta@scilifelab.se,1471-2156,Exome sequencing in one family with gastric- and rectal cancer,"Thutkawkorapin J, Picelli S, ..., Lindblom A",BMC GENET,26872740
980,Next-Generation Diagnostics,Clinical Genomics,10.1371/journal.pone.0163362,,3.057,Service,valtteri.wirta@scilifelab.se,1932-6203,Genetic Spectrum of Idiopathic Restrictive Cardiomyopathy Uncovered by Next-Gene...,"Kostareva A, Kiselev A, ..., Shlyakhto E",PLOS ONE,27662471
981,Next-Generation Diagnostics,Clinical Genomics,10.3109/10428194.2015.1136740,,3.093,Service,valtteri.wirta@scilifelab.se,1042-8194 1029-2403,Detailed gene dose analysis reveals recurrent focal gene deletions in pediatric ...,"Ivanov Öfverholm I, Tran AN, ..., Barbany G",LEUKEMIA LYMPHOMA,27090575
982,Next-Generation Diagnostics,Clinical Genomics,N/A,In press,5.089,Collaborative,valtteri.wirta@scilifelab.se,,,,,27805003
983,Next-Generation Diagnostics,Clinical Sequencing,10.1016/j.clim.2015.10.002,,4.034,Collaborative,malin.melin@scilifelab.uu.se,1521-6616,"Susceptibility to infections, without concomitant hyper-IgE, reported in 1976, i...","Lundin KE, Hamasy A, ..., Smith CE",CLIN IMMUNOL,26482871
984,Next-Generation Diagnostics,Clinical Sequencing,10.1016/j.nbt.2015.10.003,,3.199,Collaborative,malin.melin@scilifelab.uu.se,1871-6784,New technologies for DNA analysis – a review of the READNA Project,"McGinn S, Bauer D, ..., Gut IG",NEW BIOTECHNOL,26514324
985,Next-Generation Diagnostics,Clinical Sequencing,10.1182/blood-2016-03-704528,,11.847,Collaborative,malin.melin@scilifelab.uu.se,0006-4971 1528-0020,Frequent NFKBIE deletions are associated with poor outcome in primary mediastina...,"Mansouri L, Noerenberg D, ..., Damm F",BLOOD,27670424
986,Next-Generation Diagnostics,Clinical Sequencing,N/A,http://cn.agilent.com/cs/library/casestudies/public/5991-6387EN.pdf White paper together with Agilent. No impact factor.,0,Collaborative,malin.melin@scilifelab.uu.se,,,,,27805003
987,Next-Generation Diagnostics,Integrative Clinical Genomics,10.1128/genomeA.00175-16,,1.18,Collaborative,per.sikora@gu.se,2169-8287,Draft Genome Sequence of Streptococcus gordonii Type Strain CCUG 33482 T,"Salvà-Serra F, Jakobsson HE, ..., Moore ERB",,
988,Next-Generation Diagnostics,Integrative Clinical Genomics,10.1128/genomeA.00552-16,,1.18,Collaborative,per.sikora@gu.se,2169-8287,Draft Genome Sequence of Moraxella catarrhalis Type Strain CCUG 353 T,"Jakobsson HE, Salvà-Serra F, ..., Moore ERB",,
989,Next-Generation Diagnostics,Integrative Clinical Genomics,10.1038/ncomms12698,,11.329,Collaborative,per.sikora@gu.se,2041-1723,Limited clonal relatedness between gut IgA plasma cells and memory B cells after...,"Bemark M, Hazanov H, ..., Lycke NY",NAT COMMUN,27596266
990,Next-Generation Diagnostics,Integrative Clinical Genomics,N/A,Läkartidningen pii: D33M.,0.05,Collaborative,per.sikora@gu.se,,,,,27805003
991,Regional,Advanced Mass Spectrometry Proteomics,10.1007/s00726-016-2271-7,,3.196,Collaborative,roman.zubarev@ki.se,0939-4451 1438-2199,Isolation and characterization of autoantibodies against human cystatin C,"Prądzińska M, Behrendt I, ..., Czaplewska P",AMINO ACIDS,27277188
992,Regional,Advanced Mass Spectrometry Proteomics,10.1007/s00726-016-2316-y,,3.196,Collaborative,roman.zubarev@ki.se,0939-4451 1438-2199,Application of amide hydrogen/deuterium exchange mass spectrometry for epitope m...,"Prądzińska M, Behrendt I, ..., Czaplewska P",AMINO ACIDS,27573935
993,Regional,Advanced Mass Spectrometry Proteomics,10.1021/acs.jproteome.6b00422,,4.173,Collaborative,roman.zubarev@ki.se,1535-3893 1535-3907,Establishing a Proteomics-Based Monocyte Assay To Assess Differential Innate Imm...,"Tarasova NK, Ytterberg AJ, ..., Zubarev RA",J PROTEOME RES,27223872
994,Regional,Advanced Mass Spectrometry Proteomics,10.1038/cddiscovery.2016.68,,Kan inte hitta,Collaborative,roman.zubarev@ki.se,2058-7716,How well can morphology assess cell death modality? A proteomics study,"Chernobrovkin AL, Zubarev RA",,27752363
995,Regional,Advanced Mass Spectrometry Proteomics,10.1074/jbc.M116.735647,,4.258,Collaborative,roman.zubarev@ki.se,0021-9258 1083-351X,Phosphorylation of Leukotriene C 4 Synthase at Serine 36 Impairs Catalytic Activity,"Ahmad S, Ytterberg AJ, ..., Haeggström JZ",J BIOL CHEM,27365393
996,Regional,Advanced Mass Spectrometry Proteomics,10.1074/mcp.M116.060764,,5.912,Collaborative,roman.zubarev@ki.se,1535-9476 1535-9484,Approach for Identifying Human Leukocyte Antigen (HLA)-DR Bound Peptides from Sc...,"Heyder T, Kohler M, ..., Ytterberg AJ",MOL CELL PROTEOMICS,27452731
997,Regional,Advanced Mass Spectrometry Proteomics,10.1093/annonc/mdw429,,9.269,Collaborative,roman.zubarev@ki.se,0923-7534 1569-8041,Validation and development of MTH1 inhibitors for treatment of cancer,"Warpman Berglund U, Sanjiv K, ..., Helleday T",ANN ONCOL,27827301
998,Regional,Advanced Mass Spectrometry Proteomics,10.18632/oncotarget.11663,,5.008,Collaborative,dorothea.rutishauser@ki.se,1949-2553,Periostin is identified as a putative metastatic marker in breast cancer-derived...,"Vardaki I, Ceder S, ..., Panaretakis T",ONCOTARGET,27589561
